@relation 'baseball_trim-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R9,44-weka.filters.unsupervised.attribute.Remove-R16,30-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-V-R13,18,19,22,29,30,31,42,43,44,last'

@attribute AOBP numeric
@attribute HRBI numeric
@attribute HBB numeric
@attribute HGO numeric
@attribute HER numeric
@attribute HPBB numeric
@attribute HPHBP numeric
@attribute HE numeric
@attribute HSB numeric
@attribute HCS numeric
@attribute Winner {Away,Home,Draw}

@data
4.894718,0.601136,1.466016,-0.298308,-1.056475,-1.163604,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,-0.568587,0.097576,0.510782,0.068996,1.068125,-0.677762,2.451207,-0.688864,-0.500337,Away
-0.203947,-1.445879,-0.814718,-0.702853,-0.493739,-1.609949,-0.677762,1.379386,-0.688864,-0.500337,Away
-0.203947,2.940581,-1.270865,1.724416,1.475835,0.621779,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.016274,0.097576,-1.916487,-1.056475,-0.270912,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.893566,0.553723,-1.511942,0.068996,1.960816,0.604189,1.379386,-0.688864,-0.500337,Home
-0.203947,-1.445879,0.553723,-1.107397,-0.775107,0.175433,-0.677762,-0.764255,0.439617,5.331289,Away
-0.203947,-0.861018,0.097576,0.510782,-0.212371,-0.717258,-0.677762,0.307566,4.95354,-0.500337,Away
-0.203947,0.016274,-1.270865,-1.511942,0.631732,-0.717258,0.604189,-0.764255,2.696578,-0.500337,Away
-0.203947,1.185997,0.097576,-0.702853,0.913099,0.175433,-0.677762,1.379386,1.568098,-0.500337,Home
-0.203947,0.308705,-0.814718,-0.702853,1.475835,0.621779,0.604189,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.308705,0.553723,-0.298308,-0.775107,-0.270912,-0.677762,-0.764255,0.439617,1.443539,Home
-0.203947,-0.861018,1.466016,0.106237,0.350364,0.621779,1.886139,0.307566,-0.688864,3.387414,Away
-0.203947,3.525442,-0.358571,0.106237,-0.493739,-1.163604,-0.677762,1.379386,-0.688864,-0.500337,Home
-0.203947,0.308705,3.74675,0.106237,0.068996,-1.163604,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,-1.153448,0.097576,2.128961,-1.337842,-1.609949,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.276156,-1.270865,-1.107397,0.913099,1.068125,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,0.016274,-0.814718,0.915327,-1.337842,-0.270912,-0.677762,1.379386,-0.688864,1.443539,Home
-0.203947,2.35572,1.466016,0.106237,-0.493739,-1.163604,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,1.185997,-1.270865,-0.702853,0.350364,0.621779,0.604189,-0.764255,-0.688864,-0.500337,Home
